X,Y,OBJECTID,DATE,LATITUDE,LONGITUDE,CD1____KM_,CD2____KM_,CD3____KM_,CD4____KM_,WD1__G_KM_,WD2__G_KM_,WD3__G_KM_,WD4__G_KM_,SEA_STATE_,SOURCE,INFO,CD4
120.129999999600358,-17.660000000399652,1001,4/9/2013,-17.66,120.13,33316.95,147546.5,39436.39,0,0,0,0,0,1,J. Reisser,Solander/Trip 5866,0
120.140000000299878,-17.649999999700196,1002,4/9/2013,-17.65,120.14,4178.74,47359.03,5571.65,0,0,0,0,0,1,J. Reisser,Solander/Trip 5866,0
120.159999999900165,-17.649999999700196,1003,4/9/2013,-17.65,120.16,0,6305.09,1261.02,0,0,0,0,0,1,J. Reisser,Solander/Trip 5866,0
123.319999999700244,-15.209999999900059,1004,5/9/2013,-15.21,123.32,0,771.55,1543.11,0,0,0,0,0,2,J. Reisser,Solander/Trip 5866,0
123.330000000399764,-15.200000000099864,1005,5/9/2013,-15.2,123.33,0,768.01,0,0,0,0,0,0,2,J. Reisser,Solander/Trip 5866,0
123.340000000199922,-15.190000000299744,1006,5/9/2013,-15.19,123.34,0,0,0,0,0,0,0,0,2,J. Reisser,Solander/Trip 5866,0
124.780000000199919,-14.290000000299775,1007,5/9/2013,-14.29,124.78,0,0,0,0,0,0,0,0,2,J. Reisser,Solander/Trip 5866,0
124.79,-14.279999999600244,1008,5/9/2013,-14.28,124.79,0,735.72,0,0,0,0,0,0,2,J. Reisser,Solander/Trip 5866,0
124.799999999800207,-14.279999999600244,1009,5/9/2013,-14.28,124.8,0,0,783.97,0,0,0,0,0,2,J. Reisser,Solander/Trip 5866,0
127.599999999600399,-13.750000000299744,1010,7/9/2013,-13.75,127.6,1241.15,620.58,620.58,0,0,0,0,0,2,J. Reisser,Solander/Trip 5866,0
127.610000000299806,-13.73999999960024,1011,7/9/2013,-13.74,127.61,0,0,0,0,0,0,0,0,2,J. Reisser,Solander/Trip 5866,0
127.629999999900178,-13.73999999960024,1012,7/9/2013,-13.74,127.63,0,0,0,0,0,0,0,0,2,J. Reisser,Solander/Trip 5866,0
129.389999999800239,-12.82,1013,7/9/2013,-12.82,129.39,0,0,0,0,0,0,0,0,4,J. Reisser,Solander/Trip 5866,0
129.399999999600368,-12.82,1014,7/9/2013,-12.82,129.4,0,0,0,0,0,0,0,0,4,J. Reisser,Solander/Trip 5866,0
129.420000000100003,-12.810000000199819,1015,7/9/2013,-12.81,129.42,0,0,0,0,0,0,0,0,4,J. Reisser,Solander/Trip 5866,0
130.15999999970029,-12.410000000099911,1016,8/9/2013,-12.41,130.16,0,0,0,0,0,0,0,0,4,J. Reisser,Solander/Trip 5866,0
130.170000000399796,-12.410000000099911,1017,8/9/2013,-12.41,130.17,0,0,0,0,0,0,0,0,4,J. Reisser,Solander/Trip 5866,0
130.180000000199925,-12.400000000299714,1018,8/9/2013,-12.4,130.18,0,0,0,0,0,0,0,0,4,J. Reisser,Solander/Trip 5866,0
172.499999999800252,-34.450000000299731,1019,8/6/2011,-34.45,172.5,0,0,0,0,0,0,0,0,4,J. Reisser,Southern Surveyor/ss2011_t02,0
173.910000000399805,-34.659999999700197,1020,8/6/2011,-34.66,173.91,0,0,0,0,0,0,0,0,4,J. Reisser,Southern Surveyor/ss2011_t02,0
171.95,-34.860000000199811,1021,8/6/2011,-34.86,171.95,0,0,0,0,0,0,0,0,4,J. Reisser,Southern Surveyor/ss2011_t02,0
168.499999999700321,-37.319999999600284,1022,9/6/2011,-37.32,168.5,0,0,0,0,0,0,0,0,6,J. Reisser,Southern Surveyor/ss2011_t02,0
168.150000000399814,-37.57,1023,9/6/2011,-37.57,168.15,0,0,0,0,0,0,0,0,5,J. Reisser,Southern Surveyor/ss2011_t02,0
165.500000000299792,-38.990000000399675,1024,10/6/2011,-38.99,165.5,0,0,0,0,0,0,0,0,4,J. Reisser,Southern Surveyor/ss2011_t02,0
165.100000000199856,-39.050000000099885,1025,10/6/2011,-39.05,165.1,0,0,0,0,0,0,0,0,3,J. Reisser,Southern Surveyor/ss2011_t02,0
157.599999999900092,-40.340000000399641,1026,12/6/2011,-40.34,157.6,0,0,0,0,0,0,0,0,3,J. Reisser,Southern Surveyor/ss2011_t02,0
156.609999999900197,-40.46999999960024,1027,12/6/2011,-40.47,156.61,0,0,0,0,0,0,0,0,4,J. Reisser,Southern Surveyor/ss2011_t02,0
150.250000000199861,-42.219999999700185,1028,14/6/2011,-42.22,150.25,0,0,0,0,0,0,0,0,3,J. Reisser,Southern Surveyor/ss2011_t02,0
145.269999999900165,-43.259999999600275,1029,13/8/2011,-43.26,145.27,0,0,0,0,0,0,0,0,4,J. Reisser,Southern Surveyor/ss2011_t03,0
144.999999999900183,-42.920000000099897,1030,13/8/2011,-42.92,145,0,0,0,0,0,0,0,0,4,J. Reisser,Southern Surveyor/ss2011_t03,0
143.33,-40.279999999800118,1031,14/8/2011,-40.28,143.33,0,0,0,0,0,0,0,0,5,J. Reisser,Southern Surveyor/ss2011_t03,0
143.05000000019993,-39.680000000099866,1032,14/8/2011,-39.68,143.05,0,0,0,4.76,0,0,0,4884,5,J. Reisser,Southern Surveyor/ss2011_t03,4.76
136.369999999700326,-36.110000000399673,1033,16/8/2011,-36.11,136.37,0,0,0,2.79,0,0,0,27.9,6,J. Reisser,Southern Surveyor/ss2011_t03,2.79
129.630000000399718,-35.249999999600263,1034,18/8/2011,-35.25,129.63,0,0,0,0,0,0,0,0,5,J. Reisser,Southern Surveyor/ss2011_t03,0
128.730000000399741,-35.170000000299758,1035,18/8/2011,-35.17,128.73,0,0,0,2.62,0,0,0,26.2,3,J. Reisser,Southern Surveyor/ss2011_t03,2.62
124.579999999700235,-34.850000000399653,1036,19/8/2011,-34.85,124.58,0,0,0,2.63,0,0,0,26.3,5,J. Reisser,Southern Surveyor/ss2011_t03,2.63
120.5400000003998,-34.889999999600285,1037,20/8/2011,-34.89,120.54,0,0,0,0,0,0,0,0,5,J. Reisser,Southern Surveyor/ss2011_t03,0
119.679999999600355,-35.080000000299741,1038,20/8/2011,-35.08,119.68,0,0,0,9.57,0,0,0,95.7,2,J. Reisser,Southern Surveyor/ss2011_t03,9.57
116.339999999800156,-35.41,1039,21/8/2011,-35.41,116.34,0,0,0,2.94,0,0,0,29.4,6,J. Reisser,Southern Surveyor/ss2011_t03,2.94
148.810000000199921,-41.11000000029977,1040,12/4/2012,-41.11,148.81,0,0,0,0,0,0,0,0,5,J. Reisser,Southern Surveyor/ss2012_t01,0
149.769999999900165,-38.330000000099879,1041,13/4/2012,-38.33,149.77,0,0,0,0,0,0,0,0,4,J. Reisser,Southern Surveyor/ss2012_t01,0
177.44,-17.599999999800108,1042,7/6/2012,-17.6,177.44,0,0,0,68.18,0,0,0,2149.5,1,J. Reisser,Southern Surveyor/ss2012_t03,68.18
177.160000000199915,-17.95,1043,7/6/2012,-17.95,177.16,0,0,0,26.92,0,0,0,538.65,1,J. Reisser,Southern Surveyor/ss2012_t03,26.92
176.850000000099953,-18.250000000299742,1044,7/6/2012,-18.25,176.85,0,0,0,7.89,0,0,0,144.65,2,J. Reisser,Southern Surveyor/ss2012_t03,7.89
174.23000000029981,-20.680000000299746,1045,8/6/2012,-20.68,174.23,0,0,0,0,0,0,0,0,3,J. Reisser,Southern Surveyor/ss2012_t03,0
171.239999999800261,-23.229999999700169,1046,9/6/2012,-23.23,171.24,0,0,0,0,0,0,0,0,4,J. Reisser,Southern Surveyor/ss2012_t03,0
